Canonicalized SMILES,Standardized SMILES,Canonicalized Taste,Original Labels,Source,multi_taste
Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2,Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2,sweet,"Sweet, Sweetness",chemtastes_db,0
CC(C)=CCCC(C)(O)C1CC(O)C(C)=CC1=O,CC(C)=CCCC(C)(O)C1CC(O)C(C)=CC1=O,sweet,"Sweet, Sweetness",chemtastes_db,0
CC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1,CC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1,sweet,"Sweet, Sweetness",chemtastes_db,0
OC1C(O)C(O)C(O)C(O)C1O,OC1C(O)C(O)C(O)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,0
CON=C(C)C1CC=C(C=NO)CC1,CON=C(C)C1CC=C(C=NO)CC1,sweet,"Sweet, Sweetness",chemtastes_db,0
COc1ccc(C2OC3CC4CCC3(CS2)C4(C)C)cc1O,COc1ccc(C2OC3CC4CCC3(CS2)C4(C)C)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,1
COc1ccc(C(=O)C=CC(=O)O)cc1,COc1ccc(C(=O)C=CC(=O)O)cc1,sweet,"Sweet, Sweetness",chemtastes_db,0
CC1=CCC(C=NO)=CC1,CC1=CCC(C=NO)=CC1,sweet,"Sweet, Sweetness",chemtastes_db,0
COC(C)C1=CC=C(C=NO)CC1,COC(C)C1=CC=C(C=NO)CC1,sweet,"Sweet, Sweetness",chemtastes_db,0
COC(C)C1=CCC(C=NO)=CC1,COC(C)C1=CCC(C=NO)=CC1,sweet,"Sweet, Sweetness",chemtastes_db,0
COc1c(O)cc2c(c1O)C(=O)C(OC(C)=O)C(c1ccc(O)cc1)O2,COc1c(O)cc2c(c1O)C(=O)C(OC(C)=O)C(c1ccc(O)cc1)O2,sweet,"Sweet, Sweetness",chemtastes_db,0
CCC(O)CO,CCC(O)CO,sweet,"Sweetish, Sweetness",chemtastes_db,0
CC(O)CO,CC(O)CO,sweet,"Sweet, Sweetness",chemtastes_db,1
COc1ccc(C2OCc3c(O)cccc3O2)cc1O,COc1ccc(C2OCc3c(O)cccc3O2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,0
COc1ccc(C2OCc3ccccc3O2)cc1O,COc1ccc(C2OCc3ccccc3O2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,0
CC1=CC=C(C)CC1,CC1=CC=C(C)CC1,sweet,"Sweet, Sweetness",chemtastes_db,0
OCC1OC(OC2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1O,OCC1OC(OC2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,0
OCC(O)C1OCC(O)C1O,OCC(O)C1OCC(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,0
OCC1OCC(O)C1O,OCC1OCC(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,0
COc1ccc(C2COc3ccccc3O2)cc1O,COc1ccc(C2COc3ccccc3O2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,0
OCC1OC(OC2(CCl)OC(CO)C(Cl)C2O)C(O)C(O)C1O,OCC1OC(OC2(CCl)OC(CO)C(Cl)C2O)C(O)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,0
OCC1OCC(O)C(O)C1O,OCC1OCC(O)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,0
OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1O,OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1O,sweet,"Sweet(7); Intensely sweet, Sweetness",chemtastes_db,0
OC1C(CCl)OC(O)(CCl)C1O,OC1C(CCl)OC(O)(CCl)C1O,sweet,"Sweet, Sweetness",chemtastes_db,0
COCC1OC(COC)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,COCC1OC(COC)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,sweet,"Sweet; Less sweet, Sweetness",chemtastes_db,0
CSCC1OC(O)(CSC)C(O)C1O,CSCC1OC(O)(CSC)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,0
CC1(C(=O)O)CCCC2c3ccccc3C(C(=O)O)C21,CC1(C(=O)O)CCCC2c3ccccc3C(C(=O)O)C21,sweet,"Sweet, Sweetness",chemtastes_db,0
