Canonicalized SMILES,Canonicalized Taste,Original Labels,Source,mol,standardised_smiles
Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd30190>,Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2
CC(C)=CCCC(C)(O)C1CC(O)C(C)=CC1=O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd315b0>,CC(C)=CCCC(C)(O)C1CC(O)C(C)=CC1=O
CC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd328f0>,CC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1
OC1C(O)C(O)C(O)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd30dd0>,OC1C(O)C(O)C(O)C(O)C1O
CON=C(C)C1CC=C(C=NO)CC1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd30d60>,CON=C(C)C1CC=C(C=NO)CC1
COc1ccc(C2OC3CC4CCC3(CS2)C4(C)C)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd32810>,COc1ccc(C2OC3CC4CCC3(CS2)C4(C)C)cc1O
COc1ccc(C(=O)C=CC(=O)O)cc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd31070>,COc1ccc(C(=O)C=CC(=O)O)cc1
CC1=CCC(C=NO)=CC1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd30e40>,CC1=CCC(C=NO)=CC1
COC(C)C1=CC=C(C=NO)CC1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd325e0>,COC(C)C1=CC=C(C=NO)CC1
COC(C)C1=CCC(C=NO)=CC1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd30b30>,COC(C)C1=CCC(C=NO)=CC1
COc1c(O)cc2c(c1O)C(=O)C(OC(C)=O)C(c1ccc(O)cc1)O2,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd31700>,COc1c(O)cc2c(c1O)C(=O)C(OC(C)=O)C(c1ccc(O)cc1)O2
CCC(O)CO,sweet,"Sweetish, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd31e70>,CCC(O)CO
CC(O)CO,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd317e0>,CC(O)CO
COc1ccc(C2OCc3c(O)cccc3O2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd31f50>,COc1ccc(C2OCc3c(O)cccc3O2)cc1O
COc1ccc(C2OCc3ccccc3O2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd31a80>,COc1ccc(C2OCc3ccccc3O2)cc1O
CC1=CC=C(C)CC1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd31770>,CC1=CC=C(C)CC1
OCC1OC(OC2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd31850>,OCC1OC(OC2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1O
OCC(O)C1OCC(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd31d20>,OCC(O)C1OCC(O)C1O
OCC1OCC(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd327a0>,OCC1OCC(O)C1O
COc1ccc(C2COc3ccccc3O2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd33290>,COc1ccc(C2COc3ccccc3O2)cc1O
OCC1OC(OC2(CCl)OC(CO)C(Cl)C2O)C(O)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd32f10>,OCC1OC(OC2(CCl)OC(CO)C(Cl)C2O)C(O)C(O)C1O
OCC1OCC(O)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd32d50>,OCC1OCC(O)C(O)C1O
OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1O,sweet,"Sweet(7); Intensely sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd33140>,OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1O
OC1C(CCl)OC(O)(CCl)C1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd30350>,OC1C(CCl)OC(O)(CCl)C1O
COCC1OC(COC)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,sweet,"Sweet; Less sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd33450>,COCC1OC(COC)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O
CSCC1OC(O)(CSC)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd303c0>,CSCC1OC(O)(CSC)C(O)C1O
CC1(C(=O)O)CCCC2c3ccccc3C(C(=O)O)C21,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd32c00>,CC1(C(=O)O)CCCC2c3ccccc3C(C(=O)O)C21
CC(=O)C1CC=C(C=NO)CC1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd30cf0>,CC(=O)C1CC=C(C=NO)CC1
NC1(C(=O)O)CCC1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd31230>,NC1(C(=O)O)CCC1
OCC1OC(OC2(CCl)OC(CO)C(O)C2O)C(O)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd311c0>,OCC1OC(OC2(CCl)OC(CO)C(O)C2O)C(O)C(O)C1O
ON=CC1=CCCCC1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd32730>,ON=CC1=CCCCC1
ON=CC1=CCCC1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd30c80>,ON=CC1=CCCC1
CC1(OC2OC(CO)C(O)C(O)C2O)OC(CO)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd307b0>,CC1(OC2OC(CO)C(O)C(O)C2O)OC(CO)C(O)C1O
