Unnamed: 0,Canonicalized SMILES,Standardized SMILES,Canonicalized Taste,Original Labels,Source,is_multiclass,Canonical Tautomer SMILES,InChiKey,multi_taste
0,Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2,Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2,sweet,"Sweet, Sweetness",chemtastes_db,0,Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OCC1(O)C2,WZUVPPKBWHMQCE-UHFFFAOYSA-N,0
1,CC(C)=CCCC(C)(O)C1CC(O)C(C)=CC1=O,CC(C)=CCCC(C)(O)C1CC(O)C(C)=CC1=O,sweet,"Sweet, Sweetness",chemtastes_db,0,CC(C)=CCCC(C)(O)C1CC(O)C(C)=CC1=O,ABUUSHLXFTWWDH-UHFFFAOYSA-N,0
2,CC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1,CC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1,sweet,"Sweet, Sweetness",chemtastes_db,0,CC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1,NPWRSXJQDKRXOR-UHFFFAOYSA-N,0
3,OC1C(O)C(O)C(O)C(O)C1O,OC1C(O)C(O)C(O)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,0,OC1C(O)C(O)C(O)C(O)C1O,CDAISMWEOUEBRE-UHFFFAOYSA-N,0
4,CON=C(C)C1CC=C(C=NO)CC1,CON=C(C)C1CC=C(C=NO)CC1,sweet,"Sweet, Sweetness",chemtastes_db,0,CON=C(C)C1CC=C(C=NO)CC1,ZHFKNCMSPIGQBN-UHFFFAOYSA-N,0
5,COc1ccc(C(=O)C=CC(=O)O)cc1,COc1ccc(C(=O)C=CC(=O)O)cc1,sweet,"Sweet, Sweetness",chemtastes_db,0,COc1ccc(C(=O)C=CC(=O)O)cc1,WORYXBDHTBWLLL-UHFFFAOYSA-N,0
6,CC1=CCC(C=NO)=CC1,CC1=CCC(C=NO)=CC1,sweet,"Sweet, Sweetness",chemtastes_db,0,CC1=CCC(C=NO)=CC1,VZFNJGQZUUAXKC-UHFFFAOYSA-N,0
7,COC(C)C1=CC=C(C=NO)CC1,COC(C)C1=CC=C(C=NO)CC1,sweet,"Sweet, Sweetness",chemtastes_db,0,COC(C)C1=CC=C(C=NO)CC1,LHQPVZOJULFHKB-UHFFFAOYSA-N,0
8,COC(C)C1=CCC(C=NO)=CC1,COC(C)C1=CCC(C=NO)=CC1,sweet,"Sweet, Sweetness",chemtastes_db,0,COC(C)C1=CCC(C=NO)=CC1,ODUYQBRJJXCYQT-UHFFFAOYSA-N,0
9,COc1c(O)cc2c(c1O)C(=O)C(OC(C)=O)C(c1ccc(O)cc1)O2,COc1c(O)cc2c(c1O)C(=O)C(OC(C)=O)C(c1ccc(O)cc1)O2,sweet,"Sweet, Sweetness",chemtastes_db,0,COc1c(O)cc2c(c1O)C(=O)C(OC(C)=O)C(c1ccc(O)cc1)O2,SZKFMAOEZUMSRT-UHFFFAOYSA-N,0
10,CCC(O)CO,CCC(O)CO,sweet,"Sweetish, Sweetness",chemtastes_db,0,CCC(O)CO,BMRWNKZVCUKKSR-UHFFFAOYSA-N,0
11,COc1ccc(C2OCc3c(O)cccc3O2)cc1O,COc1ccc(C2OCc3c(O)cccc3O2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,0,COc1ccc(C2OCc3c(O)cccc3O2)cc1O,ZUSWOTCOXWMAMM-UHFFFAOYSA-N,0
12,COc1ccc(C2OCc3ccccc3O2)cc1O,COc1ccc(C2OCc3ccccc3O2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,0,COc1ccc(C2OCc3ccccc3O2)cc1O,ZBPSHUGVIISKJJ-UHFFFAOYSA-N,0
13,CC1=CC=C(C)CC1,CC1=CC=C(C)CC1,sweet,"Sweet, Sweetness",chemtastes_db,0,CC1=CC=C(C)CC1,WTCPAFWUNFLPEW-UHFFFAOYSA-N,0
14,OCC1OC(OC2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1O,OCC1OC(OC2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,0,OCC1OC(OC2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1O,FUOHSUPGQVKBMC-UHFFFAOYSA-N,0
15,OCC(O)C1OCC(O)C1O,OCC(O)C1OCC(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,0,OCC(O)C1OCC(O)C1O,JNYAEWCLZODPBN-UHFFFAOYSA-N,0
16,OCC1OCC(O)C1O,OCC1OCC(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,0,OCC1OCC(O)C1O,KZVAAIRBJJYZOW-UHFFFAOYSA-N,0
17,COc1ccc(C2COc3ccccc3O2)cc1O,COc1ccc(C2COc3ccccc3O2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,0,COc1ccc(C2COc3ccccc3O2)cc1O,OBZRQUBQVYFPPH-UHFFFAOYSA-N,0
18,OCC1OC(OC2(CCl)OC(CO)C(Cl)C2O)C(O)C(O)C1O,OCC1OC(OC2(CCl)OC(CO)C(Cl)C2O)C(O)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,0,OCC1OC(OC2(CCl)OC(CO)C(Cl)C2O)C(O)C(O)C1O,GFFHYQBDPZKUPC-UHFFFAOYSA-N,0
19,OCC1OCC(O)C(O)C1O,OCC1OCC(O)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,0,OCC1OCC(O)C(O)C1O,MPCAJMNYNOGXPB-UHFFFAOYSA-N,0
20,OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1O,OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1O,sweet,"Sweet(7); Intensely sweet, Sweetness",chemtastes_db,0,OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1O,UQXZSKHOYOHVIH-UHFFFAOYSA-N,0
21,OC1C(CCl)OC(O)(CCl)C1O,OC1C(CCl)OC(O)(CCl)C1O,sweet,"Sweet, Sweetness",chemtastes_db,0,OC1C(CCl)OC(O)(CCl)C1O,DPQRLGLZWCGBGE-UHFFFAOYSA-N,0
22,COCC1OC(COC)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,COCC1OC(COC)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,sweet,"Sweet; Less sweet, Sweetness",chemtastes_db,0,COCC1OC(COC)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,JODNFYVZGZMBMF-UHFFFAOYSA-N,0
23,CSCC1OC(O)(CSC)C(O)C1O,CSCC1OC(O)(CSC)C(O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,0,CSCC1OC(O)(CSC)C(O)C1O,AJYOGALEWMBMHN-UHFFFAOYSA-N,0
